AY/A,Ast,Att,Att.1,Cmp,Cmp%,Comb,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,Off%,OffSnp,Opp,QBHits,Rate,Rec,Result,Rk,ST%,STSnp,Sfty,Sk,Sk.1,Solo,TD,TD.1,TD.2,TFL,Team,Tgt,Unnamed: 6,Week,Y/A,Y/A.1,Y/R,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,player_id,season,source_file,injured
,,10.0,0.0,0.0,,,80.0,2022-09-11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,*,59.0,1.0,0.0,81.1,43.0,CLE,,,4.0,"L, 24-26",1.0,0.0,0.0,,0.0,,,1.0,0.0,0.0,,CAR,5.0,,1.0,3.3,,6.0,4.8,33.0,24.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,15.0,0.0,0.0,,,80.0,2022-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,60.0,2.0,0.0,91.4,53.0,NYG,,,4.0,"L, 16-19",2.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,CAR,5.0,@,2.0,6.8,,6.5,5.2,102.0,26.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,25.0,0.0,0.0,,,50.0,2022-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,61.0,3.0,0.0,80.3,49.0,NOR,,,2.0,"W, 22-14",3.0,3.4,1.0,,0.0,,,0.0,0.0,0.0,,CAR,4.0,,3.0,4.3,,3.5,1.8,108.0,7.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,8.0,0.0,0.0,,,100.0,2022-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,62.0,4.0,0.0,86.5,45.0,ARI,,,9.0,"L, 16-26",4.0,0.0,0.0,,0.0,,,0.0,1.0,0.0,,CAR,9.0,,4.0,3.4,,9.0,9.0,27.0,81.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,14.0,0.0,0.0,,,58.3,2022-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,63.0,5.0,0.0,85.5,59.0,SFO,,,7.0,"L, 15-37",5.0,0.0,0.0,,0.0,,,1.0,0.0,0.0,,CAR,12.0,,5.0,3.9,,7.1,4.2,54.0,50.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,13.0,0.0,0.0,,,87.5,2022-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,64.0,6.0,0.0,86.4,38.0,LAR,,,7.0,"L, 10-24",6.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,CAR,8.0,@,6.0,5.3,,12.7,11.1,69.0,89.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,8.0,0.0,0.0,,,100.0,2022-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,65.0,7.0,0.0,29.1,23.0,KAN,,,2.0,"L, 23-44",7.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,SFO,2.0,,7.0,4.8,,12.0,12.0,38.0,24.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
54.0,,18.0,1.0,1.0,100.0,,88.9,2022-10-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,*,66.0,8.0,0.0,81.1,43.0,LAR,,158.3,8.0,"W, 31-14",8.0,0.0,0.0,,0.0,,,1.0,1.0,1.0,,SFO,9.0,@,8.0,5.2,34.0,6.9,6.1,94.0,55.0,34.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,14.0,0.0,0.0,,,66.7,2022-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,67.0,9.0,0.0,64.8,46.0,LAC,,,4.0,"W, 22-16",9.0,0.0,0.0,,0.0,,,1.0,0.0,0.0,,SFO,6.0,,10.0,2.7,,9.8,6.5,38.0,39.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,7.0,0.0,0.0,,,100.0,2022-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,68.0,10.0,0.0,65.5,38.0,ARI,,,7.0,"W, 38-10",10.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,SFO,7.0,@,11.0,5.6,,9.6,9.6,39.0,67.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,11.0,0.0,0.0,,,66.7,2022-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,69.0,11.0,0.0,62.9,44.0,NOR,,,4.0,"W, 13-0",11.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,SFO,6.0,,12.0,2.9,,4.3,2.8,32.0,17.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,17.0,0.0,0.0,,,80.0,2022-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,70.0,12.0,0.0,82.1,69.0,MIA,,,8.0,"W, 33-17",12.0,0.0,0.0,,0.0,,,0.0,1.0,0.0,,SFO,10.0,,13.0,3.9,,10.0,8.0,66.0,80.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,14.0,0.0,0.0,,,66.7,2022-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,71.0,13.0,0.0,69.8,44.0,TAM,,,2.0,"W, 35-7",13.0,0.0,0.0,,0.0,,,1.0,1.0,0.0,,SFO,3.0,,14.0,8.5,,17.0,11.3,119.0,34.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,26.0,0.0,0.0,,,75.0,2022-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,72.0,14.0,0.0,89.1,57.0,SEA,,,6.0,"W, 21-13",14.0,3.6,1.0,,0.0,,,1.0,0.0,0.0,,SFO,8.0,@,15.0,4.2,,5.0,3.8,108.0,30.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,15.0,0.0,0.0,,,100.0,2022-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,73.0,15.0,0.0,75.0,39.0,WAS,,,2.0,"W, 37-20",15.0,3.7,1.0,,0.0,,,1.0,0.0,0.0,,SFO,2.0,,16.0,3.1,,6.0,6.0,46.0,12.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,19.0,0.0,0.0,,,66.7,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,74.0,16.0,0.0,85.1,57.0,LVR,,,6.0,"W, 37-34 (OT)",16.0,0.0,0.0,,0.0,,,1.0,0.0,0.0,,SFO,9.0,@,17.0,6.4,,12.0,8.0,121.0,72.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,10.0,0.0,0.0,,,100.0,2023-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,75.0,17.0,0.0,48.4,30.0,ARI,,,3.0,"W, 38-13",17.0,0.0,0.0,,0.0,,,0.0,1.0,0.0,,SFO,3.0,,18.0,4.5,,11.3,11.3,45.0,34.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv,False
,,31.0,,,,,57.1,2022-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,33.0,1.0,,76.1,70.0,HOU,,,4.0,"T, 20-20 (OT)",1.0,0.0,0.0,,,,,1.0,0.0,,,IND,7.0,@,1.0,5.2,,3.5,2.0,161.0,14.0,0.0,,,tayljo02,2022,tayljo02_2022_gamelog.csv,False
,,9.0,,,,,100.0,2022-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,34.0,2.0,,74.0,37.0,JAX,,,1.0,"L, 0-24",2.0,0.0,0.0,,,,,0.0,0.0,,,IND,1.0,@,2.0,6.0,,9.0,9.0,54.0,9.0,0.0,,,tayljo02,2022,tayljo02_2022_gamelog.csv,False
,,21.0,,,,,60.0,2022-09-25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,*,35.0,3.0,,76.1,54.0,KAN,,,3.0,"W, 20-17",3.0,0.0,0.0,,,,,0.0,0.0,,,IND,5.0,,3.0,3.4,,6.7,4.0,71.0,20.0,0.0,,,tayljo02,2022,tayljo02_2022_gamelog.csv,False
,,20.0,,,,,33.3,2022-10-02,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,36.0,4.0,,87.9,58.0,TEN,,,1.0,"L, 17-24",4.0,0.0,0.0,,,,,0.0,0.0,,,IND,3.0,,4.0,2.1,,1.0,0.3,42.0,1.0,0.0,,,tayljo02,2022,tayljo02_2022_gamelog.csv,False
