"","Rushing","Receiving","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","61","1","1","2023-09-10","NYG","","DAL","L, 0-40","*","12","51","0","4.3","4","3","12","4.0","0","75.0","3.0","0","0","0","0","0","0","45","64.3","0","0.0","0","0.0"
"2","62","2","2","2023-09-17","NYG","@","ARI","W, 31-28","*","17","63","1","3.7","7","6","29","4.8","1","85.7","4.1","0","0","0","0","0","0","66","97.1","0","0.0","0","0.0"
"2","","3","3","2023-09-21","NYG","@","SFO","L, 12-30","Inactive"
"2","","4","4","2023-10-02","NYG","","SEA","L, 3-24","Inactive"
"2","","5","5","2023-10-08","NYG","@","MIA","L, 16-31","Inactive"
"3","63","6","6","2023-10-15","NYG","@","BUF","L, 9-14","*","24","93","0","3.9","5","4","5","1.3","0","80.0","1.0","0","0","0","0","0","0","60","77.9","0","0.0","0","0.0"
"4","64","7","7","2023-10-22","NYG","","WAS","W, 14-7","*","21","77","0","3.7","4","3","41","13.7","1","75.0","10.3","1","1","0","0","0","0","57","83.8","0","0.0","0","0.0"
"5","65","8","8","2023-10-29","NYG","","NYJ","L, 10-13 (OT)","*","36","128","0","3.6","5","3","0","0.0","0","60.0","0.0","0","0","0","0","0","0","67","89.3","0","0.0","0","0.0"
"6","66","9","9","2023-11-05","NYG","@","LVR","L, 6-30","*","16","90","0","5.6","4","3","23","7.7","0","75.0","5.8","0","0","0","0","0","0","47","74.6","0","0.0","0","0.0"
"7","67","10","10","2023-11-12","NYG","@","DAL","L, 17-49","*","13","66","0","5.1","3","1","-5","-5.0","0","33.3","-1.7","0","0","0","0","0","0","35","61.4","0","0.0","0","0.0"
"8","68","11","11","2023-11-19","NYG","@","WAS","W, 31-19","*","14","83","0","5.9","5","4","57","14.3","2","80.0","11.4","0","0","0","0","0","0","50","90.9","0","0.0","0","0.0"
"9","69","12","12","2023-11-26","NYG","","NWE","W, 10-7","*","12","46","0","3.8","3","1","6","6.0","0","33.3","2.0","0","0","0","0","0","0","42","80.8","0","0.0","0","0.0"
"10","70","13","14","2023-12-11","NYG","","GNB","W, 24-22","*","20","86","2","4.3","4","3","15","5.0","0","75.0","3.8","1","1","0","0","0","0","48","85.7","0","0.0","0","0.0"
"11","71","14","15","2023-12-17","NYG","@","NOR","L, 6-24","*","9","14","0","1.6","2","2","23","11.5","0","100.0","11.5","0","0","0","0","0","0","31","50.0","0","0.0","0","0.0"
"12","72","15","16","2023-12-25","NYG","@","PHI","L, 25-33","*","23","80","1","3.5","6","3","4","1.3","0","50.0","0.7","0","0","0","0","0","0","56","88.9","0","0.0","0","0.0"
"13","73","16","17","2023-12-31","NYG","","LAR","L, 25-26","*","12","39","0","3.3","6","3","19","6.3","0","50.0","3.2","0","0","0","0","0","0","66","89.2","0","0.0","0","0.0"
"14","74","17","18","2024-01-07","NYG","","PHI","W, 27-10","*","18","46","2","2.6","2","2","51","25.5","0","100.0","25.5","0","0","0","1","0","0","47","70.1","0","0.0","0","0.0"
"","","","","","","","","6-8","","247","962","6","3.9","60","41","280","6.8","4","68.3","4.7","2","2","0","1","0","0","717","79.1","0","0.0","0","0.0"
