player,seasons_played,first_season,last_season,player_id
Khari Blasingame,3,2021,2023,B
Kimani Vidal,1,2024,2024,V
Kyle Juszczyk,4,2021,2024,J
Kylin Hill,2,2021,2022,H
Kyren Williams,3,2022,2024,W
La'Mical Perine,2,2021,2023,P
Larry Rountree,2,2021,2022,R
Latavius Murray,5,2021,2023,M
Le'Veon Bell,3,2021,2021,B
Leonard Fournette,3,2021,2023,F
Malcolm Brown,2,2021,2022,B
Malik Davis,1,2022,2022,D
MarShawn Lloyd,1,2024,2024,L
Mark Ingram,4,2021,2022,I
Marlon Mack,2,2021,2022,M
Matt Breida,3,2021,2023,B
Mekhi Sargent,4,2021,2021,S
Melvin Gordon,3,2021,2023,G
Michael Burton,4,2021,2024,B
Michael Carter,6,2021,2024,C
Mike Boone,3,2021,2024,B
Mike Davis,2,2021,2022,D
Miles Sanders,4,2021,2024,S
Myles Gaskin,3,2021,2024,G
Najee Harris,4,2021,2024,H
Nate McCrary,1,2021,2021,M
Nathan Cottrell,1,2021,2021,C
Nick Bawden,2,2021,2023,B
Nick Chubb,4,2021,2024,C
Nyheim Hines,4,2021,2022,H
Patrick Laird,1,2021,2021,L
Patrick Ricard,4,2021,2024,R
Patrick Taylor,4,2021,2024,T
Peyton Barber,1,2021,2021,B
Phillip Lindsay,4,2021,2022,L
Pierre Strong,3,2022,2024,S
Qadree Ollison,1,2021,2021,O
Rachaad White,3,2022,2024,W
Raheem Blackshear,3,2022,2024,B
Raheem Mostert,4,2021,2024,M
Rashaad Penny,3,2021,2023,P
Rasheen Ali,1,2024,2024,A
Ray Davis,1,2024,2024,D
Reggie Bonnafon,1,2021,2021,B
Reggie Gilliam,4,2021,2024,G
Rex Burkhead,2,2021,2022,B
Rhamondre Stevenson,4,2021,2024,S
Rico Dowdle,2,2023,2024,D
Rodney Smith,1,2021,2021,S
Ronald Jones II,2,2021,2022,J
Ronnie Rivers,3,2022,2024,R
Roschon Johnson,2,2023,2024,J
Royce Freeman,5,2021,2023,F
Ryan Nall,1,2021,2021,N
Ryquell Armstead,1,2021,2021,A
Salvon Ahmed,3,2021,2023,A
Samaje Perine,4,2021,2024,P
Saquon Barkley,4,2021,2024,B
Scottie Phillips,1,2021,2021,P
Sean Tucker,2,2023,2024,T
Sincere McCormick,1,2024,2024,M
Sione Vaki,1,2024,2024,V
Snoop Conner,1,2022,2022,C
Sony Michel,2,2021,2022,M
Spencer Brown,1,2022,2022,B
Tank Bigsby,2,2023,2024,B
Terrell Jennings,1,2024,2024,J
Tevin Coleman,2,2021,2022,C
Tony Jones,8,2021,2024,J
Tony Pollard,4,2021,2024,P
Travis Etienne,3,2022,2024,E
Travis Homer,4,2021,2024,H
Trayveon Williams,3,2021,2023,W
Trenton Cannon,3,2021,2021,C
Trestan Ebner,1,2022,2022,E
Trey Benson,1,2024,2024,B
Trey Ragas,1,2021,2021,R
Trey Sermon,4,2021,2024,S
Ty Chandler,3,2022,2024,C
Ty Johnson,4,2021,2024,J
Ty Montgomery,1,2023,2023,M
Ty'Son Williams,2,2021,2022,W
Tyjae Spears,2,2023,2024,S
Tyler Allgeier,3,2022,2024,A
Tyler Badie,2,2022,2024,B
Tyler Goodson,2,2023,2024,G
Tyrion Davis-Price,3,2022,2024,D
Tyrone Tracy Jr.,1,2024,2024,T
Wayne Gallman,1,2021,2021,G
Wendell Smallwood,1,2021,2021,S
Will Shipley,1,2024,2024,S
Zach Charbonnet,2,2023,2024,C
Zach Evans,1,2023,2023,E
Zack Moss,6,2021,2024,M
Zamir White,3,2022,2024,W
Zander Horvath,1,2022,2022,H
Zonovan Knight,2,2022,2023,K
