AY/A,Att,Att.1,Cmp,Cmp%,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,KRTD,Off%,OffSnp,Opp,PRTD,Rate,Rec,Result,Ret,Ret.1,Rk,ST%,STSnp,Sk,TD,TD.1,TD.2,Team,Tgt,Unnamed: 6,Week,Y/A,Y/A.1,Y/R,Y/Ret,Y/Ret.1,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,col_6,injured,player_id,season,source_file,touches_prev,touches_prev_2,touches_prev_3,career_touches_prior,prior_multiweek_prev,age
,12.0,,,,50.0,2023-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,73.0,16.0,,,89.2,66.0,LAR,,,3.0,"L, 25-26",,,13.0,0.0,0.0,,0.0,0.0,,NYG,6.0,,17.0,3.3,,6.3,,,3.2,39.0,19.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,23.0,9.0,20.0,217.0,0.0,28
,18.0,,,,100.0,2024-01-07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,*,74.0,17.0,,,70.1,47.0,PHI,,,2.0,"W, 27-10",,,14.0,0.0,0.0,,2.0,0.0,,NYG,2.0,,18.0,2.6,,25.5,,,25.5,46.0,51.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,12.0,23.0,9.0,229.0,0.0,28
,24.0,0.0,0.0,,100.0,2024-09-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,*,75.0,1.0,0.0,,80.3,61.0,GNB,,,2.0,"W, 34-29",,,1.0,0.0,0.0,0.0,2.0,1.0,0.0,PHI,2.0,,1.0,4.5,,11.5,,,11.5,109.0,23.0,0.0,0.0,0.0,,False,barksa00,2024,barksa00_2024_gamelog.csv,18.0,12.0,23.0,247.0,0.0,29
,22.0,0.0,0.0,,80.0,2024-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,76.0,2.0,0.0,,90.1,64.0,ATL,,,4.0,"L, 21-22",,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,5.0,,2.0,4.3,,5.3,,,4.2,95.0,21.0,0.0,0.0,0.0,,False,barksa00,2024,barksa00_2024_gamelog.csv,24.0,18.0,12.0,271.0,0.0,29
,17.0,0.0,0.0,,100.0,2024-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,77.0,3.0,0.0,,80.6,58.0,NOR,,,4.0,"W, 15-12",,,3.0,0.0,0.0,0.0,2.0,0.0,0.0,PHI,4.0,,3.0,8.6,,2.3,,,2.3,147.0,9.0,0.0,0.0,0.0,@,False,barksa00,2024,barksa00_2024_gamelog.csv,22.0,24.0,18.0,293.0,0.0,29
,10.0,0.0,0.0,,50.0,2024-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,78.0,4.0,0.0,,56.1,32.0,TAM,,,2.0,"L, 16-33",,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,4.0,,4.0,8.4,,16.0,,,8.0,84.0,32.0,0.0,0.0,0.0,@,False,barksa00,2024,barksa00_2024_gamelog.csv,17.0,22.0,24.0,310.0,0.0,29
,18.0,0.0,0.0,,100.0,2024-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,79.0,5.0,0.0,,79.0,49.0,CLE,,,2.0,"W, 20-16",,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,2.0,,6.0,2.6,,3.5,,,3.5,47.0,7.0,0.0,0.0,0.0,,False,barksa00,2024,barksa00_2024_gamelog.csv,10.0,17.0,22.0,320.0,0.0,29
,17.0,0.0,0.0,,66.7,2024-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,80.0,6.0,0.0,,53.0,35.0,NYG,,,2.0,"W, 28-3",,,6.0,0.0,0.0,0.0,1.0,0.0,0.0,PHI,3.0,,7.0,10.4,,5.5,,,3.7,176.0,11.0,0.0,0.0,0.0,@,False,barksa00,2024,barksa00_2024_gamelog.csv,18.0,10.0,17.0,338.0,0.0,29
,22.0,0.0,0.0,,100.0,2024-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,81.0,7.0,0.0,,82.0,50.0,CIN,,,1.0,"W, 37-17",,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,1.0,,8.0,4.9,,3.0,,,3.0,108.0,3.0,0.0,0.0,0.0,@,False,barksa00,2024,barksa00_2024_gamelog.csv,17.0,18.0,10.0,355.0,0.0,29
,27.0,0.0,0.0,,75.0,2024-11-03,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,82.0,8.0,0.0,,72.2,57.0,JAX,,,3.0,"W, 28-23",,,8.0,0.0,0.0,0.0,1.0,1.0,0.0,PHI,4.0,,9.0,5.9,,13.3,,,10.0,159.0,40.0,0.0,0.0,0.0,,False,barksa00,2024,barksa00_2024_gamelog.csv,22.0,17.0,18.0,377.0,0.0,29
