Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,103.0,1.0,1.0,2023-09-10,TEN,@,NOR,"L, 15-16",*,15,63,0,4.2,3,2,56,28.0,0,66.7,18.7,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,30,47.6,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
2.0,104.0,2.0,2.0,2023-09-17,TEN,,LAC,"W, 27-24 (OT)",*,25,80,1,3.2,4,3,15,5.0,0,75.0,3.8,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,46,70.8,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
3.0,105.0,3.0,3.0,2023-09-24,TEN,@,CLE,"L, 3-27",*,11,20,0,1.8,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,0,0,0,1,0,0,18,37.5,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
4.0,106.0,4.0,4.0,2023-10-01,TEN,,CIN,"W, 27-3",*,22,122,1,5.5,1,1,11,11.0,0,100.0,11.0,1,1,100.0,2,1,0,2.0,22.0,118.7,0,0,0,0,0,0,0,0,39,59.1,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
5.0,107.0,5.0,5.0,2023-10-08,TEN,@,IND,"L, 16-23",*,13,43,0,3.3,3,3,19,6.3,0,100.0,6.3,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,0,0,0,0,0,0,37,61.7,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
6.0,108.0,6.0,6.0,2023-10-15,TEN,,BAL,"L, 16-24",*,12,97,1,8.1,2,2,16,8.0,0,100.0,8.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,29,52.7,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
7.0,109.0,7.0,8.0,2023-10-29,TEN,,ATL,"W, 28-23",*,22,101,0,4.6,4,4,21,5.3,0,100.0,5.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,44,64.7,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
8.0,110.0,8.0,9.0,2023-11-02,TEN,@,PIT,"L, 16-20",*,17,75,1,4.4,4,3,27,9.0,0,75.0,6.8,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,36,48.6,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
9.0,111.0,9.0,10.0,2023-11-12,TEN,@,TAM,"L, 6-20",*,11,24,0,2.2,1,1,-4,-4.0,0,100.0,-4.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,27,42.9,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
10.0,112.0,10.0,11.0,2023-11-19,TEN,@,JAX,"L, 14-34",*,10,38,0,3.8,2,1,6,6.0,0,50.0,3.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,25,62.5,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
11.0,113.0,11.0,12.0,2023-11-26,TEN,,CAR,"W, 17-10",*,18,76,2,4.2,2,1,0,0.0,0,50.0,0.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,34,64.2,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
12.0,114.0,12.0,13.0,2023-12-03,TEN,,IND,"L, 28-31 (OT)",*,21,102,2,4.9,2,1,18,18.0,0,50.0,9.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,34,40.0,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
13.0,115.0,13.0,14.0,2023-12-11,TEN,@,MIA,"W, 28-27",*,17,34,2,2.0,2,1,17,17.0,0,50.0,8.5,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,34,47.9,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
14.0,116.0,14.0,15.0,2023-12-17,TEN,,HOU,"L, 16-19 (OT)",*,16,9,0,0.6,4,4,1,0.3,0,100.0,0.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,34,54.0,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
15.0,117.0,15.0,16.0,2023-12-24,TEN,,SEA,"L, 17-20",*,19,88,1,4.6,1,1,11,11.0,0,100.0,11.0,1,1,100.0,12,1,0,12.0,32.0,156.2,0,0,0,0,0,0,0,0,32,48.5,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
16.0,118.0,16.0,17.0,2023-12-31,TEN,@,HOU,"L, 3-26",*,12,42,0,3.5,1,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,23,41.8,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
17.0,119.0,17.0,18.0,2024-01-07,TEN,,JAX,"W, 28-20",*,19,153,1,8.1,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,36,65.5,0,0.0,0,0.0,henrde00,2023,henrde00_2023_gamelog.csv
