AY/A,Att,Att.1,Cmp,Cmp%,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,KRTD,Off%,OffSnp,Opp,PRTD,Rate,Rec,Result,Ret,Rk,ST%,STSnp,Sk,TD,TD.1,TD.2,Team,Tgt,Week,Y/A,Y/A.1,Y/R,Y/Ret,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,col_6,player_id,season,source_file,injured
,10.0,,,,83.3,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,114.0,17.0,,,61.5,40.0,DET,,,5.0,"L, 9-31",,17.0,0.0,0.0,,0.0,0.0,,MIN,6.0,18.0,4.5,,6.0,,5.0,45.0,30.0,0.0,,,@,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,255.0,,,,82.3,,0.0,0.0,0.0,3.0,1.0,0.0,5.0,,,,,,62.7,700.0,,,,51.0,14-3,,,0.0,0.0,,5.0,2.0,,,62.0,,4.5,,8.0,,6.6,1138.0,408.0,0.0,,,,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,18.0,,,,100.0,2024-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,18.0,1.0,,,89.3,50.0,PIT,,,5.0,"L, 10-18",,1.0,0.0,0.0,,0.0,0.0,,ATL,5.0,1.0,3.8,,8.6,,8.6,68.0,43.0,0.0,,,,robibi01,2024,robibi01_2024_gamelog.csv,False
,14.0,,,,80.0,2024-09-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,*,19.0,2.0,,,75.4,46.0,PHI,,,4.0,"W, 22-21",,2.0,0.0,0.0,,0.0,0.0,,ATL,5.0,2.0,6.9,,6.3,,5.0,97.0,25.0,0.0,,,@,robibi01,2024,robibi01_2024_gamelog.csv,False
,16.0,,,,100.0,2024-09-22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,*,20.0,3.0,,,82.0,50.0,KAN,,,2.0,"L, 17-22",,3.0,0.0,0.0,,1.0,0.0,,ATL,2.0,3.0,1.9,,10.5,,10.5,31.0,21.0,0.0,,,,robibi01,2024,robibi01_2024_gamelog.csv,False
,7.0,,,,100.0,2024-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,21.0,4.0,,,64.3,36.0,NOR,,,4.0,"W, 26-24",,4.0,0.0,0.0,,0.0,0.0,,ATL,4.0,4.0,4.0,,11.5,,11.5,28.0,46.0,0.0,,,,robibi01,2024,robibi01_2024_gamelog.csv,False
,12.0,,,,100.0,2024-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,22.0,5.0,,,66.7,58.0,TAM,,,3.0,"W, 36-30 (OT)",,5.0,0.0,0.0,,0.0,0.0,,ATL,3.0,5.0,5.1,,5.3,,5.3,61.0,16.0,0.0,,,,robibi01,2024,robibi01_2024_gamelog.csv,False
,15.0,,,,75.0,2024-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,23.0,6.0,,,55.7,39.0,CAR,,,3.0,"W, 38-20",,6.0,0.0,0.0,,2.0,0.0,,ATL,4.0,6.0,6.3,,3.3,,2.5,95.0,10.0,0.0,,,@,robibi01,2024,robibi01_2024_gamelog.csv,False
,21.0,,,,60.0,2024-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,24.0,7.0,,,68.5,50.0,SEA,,,3.0,"L, 14-34",,7.0,0.0,0.0,,1.0,0.0,,ATL,5.0,7.0,4.9,,13.3,,8.0,103.0,40.0,0.0,,,,robibi01,2024,robibi01_2024_gamelog.csv,False
,13.0,,,,100.0,2024-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,25.0,8.0,,,67.7,42.0,TAM,,,7.0,"W, 31-26",,8.0,0.0,0.0,,0.0,1.0,,ATL,7.0,8.0,4.8,,6.1,,6.1,63.0,43.0,0.0,,,@,robibi01,2024,robibi01_2024_gamelog.csv,False
,19.0,,,,100.0,2024-11-03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,*,26.0,9.0,,,73.7,42.0,DAL,,,7.0,"W, 27-21",,9.0,0.0,0.0,,0.0,0.0,,ATL,7.0,9.0,4.5,,8.4,,8.4,86.0,59.0,0.0,,,,robibi01,2024,robibi01_2024_gamelog.csv,False
,20.0,,,,75.0,2024-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,27.0,10.0,,,78.2,61.0,NOR,,,3.0,"L, 17-20",,10.0,0.0,0.0,,2.0,0.0,,ATL,4.0,10.0,5.8,,9.3,,7.0,116.0,28.0,0.0,,,@,robibi01,2024,robibi01_2024_gamelog.csv,False
,12.0,,,,100.0,2024-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,28.0,11.0,,,71.2,42.0,DEN,,,4.0,"L, 6-38",,11.0,0.0,0.0,,0.0,0.0,,ATL,4.0,11.0,2.9,,7.0,,7.0,35.0,28.0,0.0,,,@,robibi01,2024,robibi01_2024_gamelog.csv,False
,26.0,,,,100.0,2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,29.0,12.0,,,75.3,61.0,LAC,,,6.0,"L, 13-17",,12.0,0.0,0.0,,1.0,0.0,,ATL,6.0,13.0,3.9,,5.5,,5.5,102.0,33.0,0.0,,,,robibi01,2024,robibi01_2024_gamelog.csv,False
,22.0,,,,100.0,2024-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,30.0,13.0,,,85.1,63.0,MIN,,,2.0,"L, 21-42",,13.0,0.0,0.0,,1.0,0.0,,ATL,2.0,14.0,4.2,,4.5,,4.5,92.0,9.0,0.0,,,@,robibi01,2024,robibi01_2024_gamelog.csv,False
,22.0,,,,50.0,2024-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,31.0,14.0,,,75.9,44.0,LVR,,,1.0,"W, 15-9",,14.0,0.0,0.0,,0.0,0.0,,ATL,2.0,15.0,5.7,,10.0,,5.0,125.0,10.0,0.0,,,@,robibi01,2024,robibi01_2024_gamelog.csv,False
,22.0,,,,100.0,2024-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,32.0,15.0,,,74.6,50.0,NYG,,,2.0,"W, 34-7",,15.0,0.0,0.0,,2.0,0.0,,ATL,2.0,16.0,4.3,,4.5,,4.5,94.0,9.0,0.0,,,,robibi01,2024,robibi01_2024_gamelog.csv,False
,17.0,,,,60.0,2024-12-29,0.0,0.0,0.0,0.0,1.0,0.0,1.0,*,33.0,16.0,,,90.6,58.0,WAS,,,3.0,"L, 24-30 (OT)",,16.0,0.0,0.0,,2.0,0.0,,ATL,5.0,17.0,5.3,,2.7,,1.6,90.0,8.0,-21.0,,,@,robibi01,2024,robibi01_2024_gamelog.csv,False
